Representante;Codigo Sfnet
11;2316449
30;2317383
10;2314053
11;2315629
10;2314143
11;2316361
27;2319934
10;2314093
16;2315979
12;2313377
16;2315954
11;2320048
16;2319691
30;2317602
18;2317252
10;2315004
26;2314537
18;2314304
26;2314693
26;2320108
18;2316765
17;2316735
30;2313349
12;2320490
12;2320419
18;2320455
13;2315623
13;2315624
13;2320129
9;2315194
18;2320297
17;2320554
18;2318755
26;2320523
14;2316519
14;2315745
12;2313195
30;2318086
13;2320133
9;2315248
17;2320556
26;2320113
14;2318892
29;2314954
10;2314167
10;2314153
11;2317519
16;2318246
16;2315557
14;2318886
14;2314591
26;2314492
10;2315263
9;2315153
30;2317428
12;2319081
12;2313138
18;2317324
17;2319594
13;2315631
13;2320319
11;2316343
26;2314739
14;2318572
13;2315621
13;2315622
13;2315633
26;2314676
16;2318417
10;2314155
27;2314378
10;2315191
9;2320027
27;2314417
11;2318168
27;2314405
12;2320489
13;2319462
16;2318254
13;2319438
16;2315936
14;2313791
14;2314597
28;2316159
12;2313386
10;2314040
29;2319958
12;2319131
10;2314022
29;2316304
28;2313940
27;2314361
16;2315550
16;2319825
12;2313328
18;2320394
29;2316180
9;2317049
9;2315228
9;2315185
10;2315255
12;2313390
16;2315556
30;2314567
29;2314982
14;2313666
9;2320130
12;2319152
9;2315180
13;2315603
30;2318441
26;2314728
10;2319416
26;2320120
13;2315564
12;2319112
13;2315683
29;2315090
29;2320515
26;2320522
10;2318160
11;2319735
17;2314222
16;2316077
12;2313142
9;2315118
27;2314433
9;2315285
10;2314047
12;2310276
11;2316349
9;2315208
12;2319149
9;2315134
11;2309927
9;2318322
9;2315283
30;2313498
16;2315445
16;2315432
11;2316392
9;2315152
11;2319259
16;2315500
12;2313364
16;2320411
28;2313858
12;2313132
10;2314023
10;2320474
13;2317545
16;2315943
10;2318339
9;2319855
27;2314404
17;2316749
27;2319944
10;2314012
11;2320213
12;2313433
27;2314393
18;2318842
18;2320557
16;2315487
18;2318798
18;2318656
27;2318288
16;2315968
12;2312831
26;2320062
28;2314859
17;2317257
17;2314298
18;2318579
18;2317303
30;2313510
28;2314842
13;2315605
18;2320292
17;2314288
17;2317232
16;2315885
18;2317215
17;2317352
30;2313500
13;2312746
17;2316716
28;2314939
13;2318850
16;2319966
28;2314925
28;2315250
30;2309933
17;2316795
30;2309932
28;2314942
17;2316812
28;2317156
29;2316151
9;2317095
11;2318156
16;2318033
10;2314072
9;2315198
11;2316395
9;2315157
10;2314162
9;2315269
18;2317211
17;2320384
10;2314109
29;2315115
27;2314320
9;2317141
13;2320531
9;2319583
13;2315731
9;2315277
13;2317679
18;2317238
26;2314781
18;2318636
12;2313414
17;2317171
9;2310869
26;2314541
13;2320128
18;2314296
18;2318479
11;2320047
18;2320459
16;2315912
26;2314733
11;2320073
13;2318675
13;2315591
10;2314073
18;2320376
10;2314026
9;2315209
11;2316372
17;2318585
10;2315169
18;2310210
30;2313516
29;2316138
13;2313071
27;2314446
10;2313992
16;2320180
13;2313026
12;2320044
13;2310732
17;2316720
30;2317370
12;2318749
17;2314197
9;2315137
30;2310550
29;2315038
13;2315696
12;2313458
13;2313027
9;2319675
17;2314186
18;2319197
10;2319187
18;2316820
29;2315020
30;2313485
10;2314103
17;2316797
27;2314409
27;2314426
29;2316248
29;2315091
11;2318206
14;2313679
28;2318552
29;2315037
28;2313863
28;2318526
14;2317933
14;2317939
28;2316290
27;2320246
18;2317279
17;2314232
9;2317094
9;2317100
9;2317024
9;2317017
9;2317082
17;2316813
17;2314205
27;2314491
10;2314064
30;2310429
28;2314905
11;2319739
30;2313529
16;2319816
28;2319987
12;2320043
18;2318900
13;2315715
17;2314271
18;2317219
18;2319198
16;2318041
29;2316251
14;2314598
28;2314907
30;2318780
16;2315486
9;2315266
10;2315262
9;2319585
18;2316815
26;2318304
28;2313798
13;2315693
26;2314503
26;2314705
28;2313947
26;2319263
17;2316755
13;2320144
18;2314313
28;2314803
18;2317236
30;2313517
17;2319573
18;2317180
17;2316803
18;2318830
29;2316253
30;2310439
