Codigo Sfnet;Marca;Representante;# Visita;Posicion
2316449;37;11;1;1
2317383;37;30;1;1
2314053;37;10;1;1
2315629;37;11;1;1
2314143;37;10;1;1
2316361;37;11;1;1
2319934;37;27;1;1
2314093;37;10;1;1
2315979;37;16;1;1
2313377;37;12;1;1
2315954;37;16;1;1
2320048;37;11;1;1
2319691;37;16;1;1
2317602;37;30;1;1
2317252;37;18;1;1
2315004;37;10;1;1
2314537;37;26;1;1
2314304;37;18;1;1
2314693;37;26;1;1
2320108;37;26;1;1
2316765;37;18;1;1
2316735;37;17;1;1
2313349;37;30;1;1
2320490;37;12;1;1
2320419;37;12;1;1
2320455;37;18;1;1
2315623;37;13;1;1
2315624;37;13;1;1
2320129;37;13;1;1
2315194;37;9;1;1
2320297;37;18;1;1
2320554;37;17;1;1
2318755;37;18;1;1
2320523;37;26;1;1
2316519;37;14;1;1
2315745;37;14;1;1
2313195;37;12;1;1
2318086;37;30;1;1
2320133;37;13;1;1
2315248;37;9;1;1
2320556;37;17;1;1
2320113;37;26;1;1
2318892;37;14;1;1
2314954;37;29;1;1
2314167;37;10;1;1
2314153;37;10;1;1
2317519;37;11;1;1
2318246;37;16;1;1
2315557;37;16;1;1
2318886;37;14;1;1
2314591;37;14;1;1
2314492;37;26;1;1
2315263;37;10;1;1
2315153;37;9;1;1
2317428;37;30;1;1
2319081;37;12;1;1
2313138;37;12;1;1
2317324;37;18;1;1
2319594;37;17;1;1
2315631;37;13;1;1
2320319;37;13;1;1
2316343;37;11;1;1
2314739;37;26;1;1
2318572;37;14;1;1
2315621;37;13;1;1
2315622;37;13;1;1
2315633;37;13;1;1
2314676;37;26;1;1
2318417;37;16;1;1
2314155;37;10;1;1
2314378;37;27;1;1
2315191;37;10;1;1
2320027;37;9;1;1
2314417;37;27;1;1
2318168;37;11;1;1
2314405;37;27;1;1
2320489;37;12;1;1
2319462;37;13;1;1
2318254;37;16;1;1
2319438;37;13;1;1
2315936;37;16;1;1
2313791;37;14;1;1
2314597;37;14;1;1
2316159;37;28;1;1
2313386;37;12;1;1
2314040;37;10;1;1
2319958;37;29;1;1
2319131;37;12;1;1
2314022;37;10;1;1
2316304;37;29;1;1
2313940;37;28;1;1
2314361;37;27;1;1
2315550;37;16;1;1
2319825;37;16;1;1
2313328;37;12;1;1
2320394;37;18;1;1
2316180;37;29;1;1
2317049;37;9;1;1
2315228;37;9;1;1
2315185;37;9;1;1
2315255;37;10;1;1
2313390;37;12;1;1
2315556;37;16;1;1
2314567;37;30;1;1
2314982;37;29;1;1
2313666;37;14;1;1
2320130;37;9;1;1
2319152;37;12;1;1
2315180;37;9;1;1
2315603;37;13;1;1
2318441;37;30;1;1
2314728;37;26;1;1
2319416;37;10;1;1
2320120;37;26;1;1
2315564;37;13;1;1
2319112;37;12;1;1
2315683;37;13;1;1
2315090;37;29;1;1
2320515;37;29;1;1
2320522;37;26;1;1
2318160;37;10;1;1
2319735;37;11;1;1
2314222;37;17;1;1
2316077;37;16;1;2
2313142;37;12;1;2
2315118;37;9;1;2
2314433;37;27;1;2
2315285;37;9;1;2
2314047;37;10;1;2
2310276;37;12;1;2
2316349;37;11;1;2
2315208;37;9;1;2
2319149;37;12;1;2
2315134;37;9;1;2
2309927;37;11;1;2
2318322;37;9;1;2
2315283;37;9;1;2
2313498;37;30;1;2
2315445;37;16;1;2
2315432;37;16;1;2
2316392;37;11;1;2
2315152;37;9;1;2
2319259;37;11;1;2
2315500;37;16;1;2
2313364;37;12;1;2
2320411;37;16;1;2
2313858;37;28;1;2
2313132;37;12;1;2
2314023;37;10;1;2
2320474;37;10;1;2
2317545;37;13;1;2
2315943;37;16;1;2
2318339;37;10;1;2
2319855;37;9;1;2
2314404;37;27;1;2
2316749;37;17;1;2
2319944;37;27;1;2
2314012;37;10;1;2
2320213;37;11;1;2
2313433;37;12;1;2
2314393;37;27;1;2
2318842;37;18;1;2
2320557;37;18;1;2
2315487;37;16;1;2
2318798;37;18;1;2
2318656;37;18;1;2
2318288;37;27;1;2
2315968;37;16;1;2
2312831;37;12;1;2
2320062;37;26;1;2
2314859;37;28;1;2
2317257;37;17;1;2
2314298;37;17;1;2
2318579;37;18;1;2
2317303;37;18;1;2
2313510;37;30;1;2
2314842;37;28;1;2
2315605;37;13;1;2
2320292;37;18;1;2
2314288;37;17;1;2
2317232;37;17;1;2
2315885;37;16;1;2
2317215;37;18;1;2
2317352;37;17;1;2
2313500;37;30;1;2
2312746;37;13;1;2
2316716;37;17;1;2
2314939;37;28;1;2
2318850;37;13;1;2
2319966;37;16;1;2
2314925;37;28;1;2
2315250;37;28;1;2
2309933;37;30;1;2
2316795;37;17;1;2
2309932;37;30;1;2
2314942;37;28;1;2
2316812;37;17;1;2
